Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Alika Williams,ATH,0.217,0.374,0.25,6.0,29.9,108.0,0.245,0.237,6,28,0.274,49.4,39.6
Carlos Cortes,ATH,0.313,0.501,0.408,8.8,44.2,109.4,0.4,0.388,6,29,0.256,58.6,56.0
Colby Thomas,ATH,0.264,0.417,0.325,7.2,35.8,108.6,0.319,0.309,6,18,0.293,50.0,45.9
Henry Bolte,ATH,0.306,0.396,0.4,7.7,38.5,108.8,0.392,0.38,6,41,0.381,70.2,46.8
Jeff McNeil,ATH,0.237,0.315,0.319,6.1,30.4,108.0,0.313,0.303,6,31,0.176,48.0,37.0
Jonah Heim,ATH,0.243,0.51,0.316,8.0,40.0,109.0,0.31,0.3,6,19,0.436,55.6,53.5
Lawrence Butler,ATH,0.18,0.281,0.278,5.3,26.7,107.7,0.272,0.264,6,26,0.323,47.2,32.7
Nick Kurtz,ATH,0.291,0.549,0.452,9.8,48.8,109.9,0.443,0.429,6,56,0.497,82.0,61.7
Shea Langeliers,ATH,0.286,0.55,0.358,8.8,44.1,109.4,0.351,0.34,6,52,0.265,67.8,58.4
Tyler Soderstrom,ATH,0.24,0.467,0.347,7.9,39.4,109.0,0.34,0.33,6,50,0.495,73.8,51.0
Zack Gelof,ATH,0.271,0.468,0.327,7.7,38.5,108.8,0.32,0.311,6,50,0.355,69.8,50.4
Brandon Lowe,PIT,0.254,0.541,0.348,8.6,43.2,109.3,0.341,0.331,6,50,0.275,64.2,57.2
Bryan Reynolds,PIT,0.27,0.432,0.402,8.1,40.5,109.0,0.394,0.382,6,54,0.367,72.3,50.0
Endy Rodríguez,PIT,0.245,0.43,0.402,8.1,40.4,109.0,0.394,0.382,6,30,0.256,52.3,49.8
Jake Mangum,PIT,0.295,0.361,0.362,7.0,34.9,108.5,0.355,0.344,6,38,0.447,70.8,42.5
Jared Triolo,PIT,0.237,0.278,0.31,5.6,28.1,107.8,0.304,0.294,6,46,0.348,64.1,33.5
Marcell Ozuna,PIT,0.198,0.309,0.289,5.7,28.6,107.8,0.283,0.275,6,16,0.328,44.2,35.5
Nick Gonzales,PIT,0.306,0.382,0.366,7.2,36.1,108.6,0.359,0.348,6,52,0.38,75.6,44.4
Ryan O'Hearn,PIT,0.283,0.47,0.362,8.1,40.4,109.0,0.355,0.344,6,40,0.265,61.5,51.8
Spencer Horwitz,PIT,0.291,0.472,0.397,8.4,42.2,109.2,0.389,0.377,6,51,0.348,72.0,53.1
Tyler Callihan,PIT,0.318,0.948,0.515,14.4,71.9,112.2,0.505,0.489,6,19,0.489,65.8,97.8
Fernando Tatis Jr.,SD,0.284,0.355,0.36,6.9,34.5,108.5,0.353,0.342,6,55,0.36,73.9,41.9
Freddy Fermin,SD,0.154,0.274,0.249,5.0,24.9,107.5,0.244,0.237,6,27,0.255,41.6,31.1
Gavin Sheets,SD,0.235,0.459,0.332,7.7,38.3,108.8,0.325,0.315,6,45,0.237,57.9,49.8
Jackson Merrill,SD,0.207,0.342,0.285,6.0,30.1,108.0,0.279,0.271,6,51,0.27,59.7,38.2
Jase Bowen,SD,0.181,0.186,0.237,4.0,19.9,107.0,0.232,0.225,6,18,0.237,38.9,23.2
Manny Machado,SD,0.183,0.365,0.271,6.1,30.5,108.0,0.266,0.257,6,49,0.219,53.8,39.6
