Name,Team,ERA,WHIP,K%,K/9,xBA Allowed,xwOBA Allowed,xSLG Allowed,Bullpen_ERA
Aaron Civale,ATH,4.91,1.59,15.4,6.3,0.316,0.371,0.549,4.15
Elvis Alvarado,ATH,5.63,1.25,30.3,11.2,0.23,0.318,0.444,4.15
Gage Jump,ATH,3.09,1.11,20.2,7.3,0.248,0.313,0.282,4.15
Hogan Harris,ATH,3.12,1.53,25.5,10.4,0.233,0.365,0.351,4.15
J.T. Ginn,ATH,2.91,1.16,21.5,7.9,0.219,0.313,0.351,4.15
Jack Perkins,ATH,6.15,1.39,26.3,10.8,0.272,0.354,0.429,4.15
Jeffrey Springs,ATH,5.13,1.32,20.0,7.7,0.27,0.327,0.526,4.15
José Suarez,ATH,5.54,1.79,23.9,10.1,0.328,0.417,0.464,4.15
Justin Sterner,ATH,3.18,1.06,25.0,9.0,0.234,0.282,0.388,4.15
Luis Medina,ATH,4.54,1.49,25.7,10.2,0.279,0.36,0.443,4.15
Mark Leiter Jr.,ATH,4.85,1.38,24.4,9.4,0.28,0.346,0.385,4.15
Mason Barnett,ATH,0.77,0.77,32.6,10.8,0.138,0.224,0.276,4.15
Scott Barlow,ATH,6.25,1.33,18.1,7.4,0.208,0.355,0.442,4.15
Brandan Bidois,PIT,5.14,1.86,24.3,10.9,0.283,0.406,0.529,4.15
Braxton Ashcraft,PIT,3.18,1.1,26.3,9.6,0.243,0.303,0.369,4.15
Bubba Chandler,PIT,4.76,1.38,22.6,9.0,0.218,0.335,0.385,4.15
Carmen Mlodzinski,PIT,3.84,1.45,18.8,7.4,0.284,0.353,0.433,4.15
Dennis Santana,PIT,4.5,1.43,19.5,7.8,0.245,0.353,0.42,4.15
Evan Sisk,PIT,1.97,1.13,30.0,11.0,0.231,0.325,0.365,4.15
Gregory Soto,PIT,3.16,0.96,29.6,10.6,0.172,0.271,0.281,4.15
Isaac Mattson,PIT,4.09,1.45,18.6,7.4,0.251,0.355,0.369,4.15
Jared Jones,PIT,6.23,1.62,23.1,9.3,0.316,0.374,0.562,4.15
Mason Montgomery,PIT,4.18,1.39,29.5,11.6,0.234,0.335,0.384,4.15
Mitch Keller,PIT,5.25,1.34,18.4,7.1,0.262,0.344,0.399,4.15
Paul Skenes,PIT,2.85,0.93,30.4,10.9,0.209,0.262,0.348,4.15
Yohan Ramírez,PIT,4.24,1.31,25.3,10.0,0.218,0.352,0.382,4.15
Adrian Morejon,SD,3.89,1.05,27.5,10.0,0.239,0.283,0.327,4.15
Bradgley Rodriguez,SD,2.1,1.19,22.2,8.4,0.235,0.304,0.33,4.15
David Morgan,SD,4.42,1.8,26.1,11.3,0.302,0.429,0.478,4.15
Griffin Canning,SD,6.64,1.57,22.4,8.8,0.273,0.376,0.475,4.15
Jason Adam,SD,1.71,1.22,15.5,5.8,0.25,0.324,0.4,4.15
Kyle Hart,SD,4.43,0.93,15.2,5.3,0.198,0.284,0.295,4.15
Lucas Giolito,SD,4.56,1.79,13.6,5.6,0.27,0.413,0.405,4.15
Michael King,SD,3.6,1.19,21.0,7.7,0.227,0.324,0.375,4.15
Randy Vásquez,SD,3.63,1.32,18.5,7.0,0.278,0.339,0.471,4.15
Walker Buehler,SD,4.14,1.34,20.2,7.8,0.27,0.339,0.386,4.15
Wandy Peralta,SD,2.06,1.37,16.3,6.2,0.252,0.355,0.379,4.15
Yuki Matsui,SD,1.64,1.0,27.9,9.8,0.181,0.282,0.363,4.15
Alex Hoppe,SEA,5.57,1.33,25.0,9.9,0.245,0.33,0.353,4.15
Andrés Muñoz,SEA,5.68,1.42,33.3,13.5,0.258,0.34,0.416,4.15
Bryan Woo,SEA,4.28,1.04,24.0,8.7,0.237,0.282,0.374,4.15
Bryce Miller,SEA,1.54,0.71,28.8,9.3,0.178,0.217,0.331,4.15
Eduard Bazardo,SEA,2.23,1.33,20.7,7.8,0.281,0.343,0.41,4.15
Emerson Hancock,SEA,3.28,1.02,24.0,8.5,0.23,0.287,0.395,4.15
Gabe Speier,SEA,2.0,1.17,22.4,8.5,0.244,0.335,0.379,4.15
George Kirby,SEA,4.1,1.31,21.1,7.9,0.286,0.335,0.425,4.15
José A. Ferrer,SEA,2.87,1.4,19.3,7.8,0.293,0.356,0.398,4.15
Logan Gilbert,SEA,3.43,1.03,26.6,9.6,0.226,0.287,0.424,4.15
Luis Castillo,SEA,5.0,1.38,21.8,8.8,0.266,0.345,0.44,4.15
Michael Rucker,SEA,6.0,1.0,50.0,18.0,0.192,0.265,0.747,4.15
Nick Davila,SEA,0.0,1.03,17.4,6.2,0.142,0.298,0.178,4.15
Adrian Houser,SF,5.73,1.58,15.8,6.5,0.304,0.374,0.537,4.15
Caleb Kilian,SF,3.06,1.11,28.6,10.6,0.193,0.295,0.342,4.15
Dylan Smith,SF,0.0,1.0,28.0,10.5,0.146,0.255,0.156,4.15
Erik Miller,SF,4.58,1.73,29.3,12.4,0.24,0.395,0.385,4.15
JT Brubaker,SF,2.92,1.24,17.2,6.3,0.231,0.32,0.333,4.15
Landen Roupp,SF,4.24,1.29,26.2,9.9,0.242,0.329,0.375,4.15
Logan Webb,SF,3.46,1.15,21.1,7.8,0.249,0.311,0.355,4.15
Matt Gage,SF,3.7,1.44,18.7,7.4,0.252,0.345,0.46,4.15
Robbie Ray,SF,4.07,1.33,22.0,8.4,0.243,0.331,0.445,4.15
Ryan Walker,SF,5.4,1.64,20.2,8.3,0.292,0.393,0.428,4.15
Sam Hentges,SF,1.46,1.7,23.7,10.2,0.188,0.388,0.22,4.15
Trevor McDonald,SF,4.64,1.29,22.2,8.6,0.255,0.345,0.407,4.15
Tristan Beck,SF,8.31,1.73,9.8,4.2,0.361,0.39,0.561,4.15
Andre Pallante,STL,3.76,1.2,19.3,7.3,0.24,0.316,0.381,4.15
Dustin May,STL,3.75,1.14,22.8,8.3,0.25,0.314,0.37,4.15
George Soriano,STL,2.97,1.12,21.6,8.0,0.224,0.295,0.395,4.15
Gordon Graceffo,STL,2.14,0.92,13.4,4.5,0.175,0.275,0.295,4.15
JoJo Romero,STL,3.94,1.31,23.4,9.0,0.26,0.348,0.42,4.15
Justin Bruihl,STL,4.5,1.5,15.2,6.3,0.293,0.387,0.427,4.15
Kyle Leahy,STL,4.63,1.57,18.7,7.6,0.308,0.379,0.481,4.15
Matt Svanson,STL,7.11,1.61,21.4,8.8,0.289,0.374,0.47,4.15
Matthew Liberatore,STL,4.71,1.5,21.2,8.3,0.297,0.361,0.496,4.15
Michael McGreevy,STL,2.99,1.11,16.5,5.9,0.244,0.296,0.408,4.15
Riley O'Brien,STL,3.73,1.21,24.1,9.2,0.245,0.341,0.307,4.15
Ryne Stanek,STL,5.22,1.5,27.3,11.0,0.242,0.359,0.422,4.15
Bryan Baker,TB,1.91,0.95,28.3,10.2,0.17,0.263,0.27,4.15
Cam Booser,TB,0.0,0.86,38.5,12.9,0.14,0.246,0.15,4.15
Casey Legumina,TB,3.45,1.34,17.3,6.6,0.307,0.363,0.435,4.15
Cole Sulser,TB,6.18,1.73,19.4,8.1,0.326,0.393,0.529,4.15
Craig Kimbrel,TB,5.82,1.59,23.7,9.5,0.302,0.388,0.543,4.15
Drew Rasmussen,TB,2.59,0.88,27.3,9.4,0.205,0.249,0.325,4.15
Garrett Cleavinger,TB,5.19,1.44,32.5,13.0,0.252,0.353,0.439,4.15
Griffin Jax,TB,3.68,1.36,22.3,8.4,0.271,0.346,0.43,4.15
Ian Seymour,TB,4.93,1.28,25.0,9.6,0.227,0.33,0.433,4.15
Kevin Kelly,TB,2.7,0.9,20.6,7.0,0.207,0.269,0.328,4.15
Nick Martinez,TB,2.6,1.16,14.7,5.4,0.266,0.305,0.411,4.15
Shane McClanahan,TB,3.33,1.23,24.0,9.2,0.228,0.312,0.324,4.15
Steven Matz,TB,5.84,1.36,17.9,6.9,0.263,0.336,0.509,4.15
Cal Quantrill,TEX,3.29,1.21,15.7,5.9,0.24,0.337,0.36,4.15
Cole Winn,TEX,5.82,1.48,25.5,10.4,0.283,0.352,0.44,4.15
Jack Leiter,TEX,4.86,1.39,23.6,9.4,0.257,0.343,0.442,4.15
Jacob Latz,TEX,1.62,0.6,29.2,9.4,0.126,0.182,0.234,4.15
Jacob deGrom,TEX,3.17,0.99,29.2,10.4,0.221,0.264,0.394,4.15
Jakob Junis,TEX,1.84,0.82,18.6,6.4,0.191,0.254,0.249,4.15
Joe Ross,TEX,10.8,1.8,9.4,4.0,0.296,0.39,0.52,4.15
Kumar Rocker,TEX,4.17,1.41,18.5,7.3,0.26,0.343,0.408,4.15
MacKenzie Gore,TEX,4.27,1.31,25.6,9.9,0.236,0.325,0.397,4.15
Nathan Eovaldi,TEX,4.23,1.17,22.9,8.6,0.253,0.313,0.457,4.15
Peyton Gray,TEX,3.86,1.2,21.6,8.5,0.238,0.302,0.379,4.15
Robby Ahlstrom,TEX,0.0,0.83,18.2,6.0,0.2,0.242,0.21,4.15
Tyler Alexander,TEX,3.0,1.43,17.6,6.9,0.301,0.364,0.413,4.15
Braydon Fisher,TOR,3.26,1.16,25.8,9.3,0.211,0.318,0.356,4.15
Chad Dallas,TOR,2.45,1.09,13.3,4.9,0.177,0.282,0.187,4.15
Dylan Cease,TOR,2.71,1.19,36.3,13.6,0.219,0.312,0.319,4.15
Jeff Hoffman,TOR,5.29,1.52,36.1,14.8,0.298,0.369,0.452,4.15
Kevin Gausman,TOR,3.41,1.03,24.6,8.9,0.237,0.278,0.397,4.15
Louis Varland,TOR,0.9,0.98,35.7,12.4,0.207,0.268,0.266,4.15
Mason Fluharty,TOR,3.77,1.43,30.2,11.9,0.271,0.351,0.398,4.15
Patrick Corbin,TOR,4.57,1.48,15.9,6.3,0.3,0.368,0.468,4.15
Simeon Woods Richardson,TOR,6.75,1.77,11.8,4.9,0.322,0.408,0.531,4.15
Spencer Miles,TOR,3.3,1.06,23.5,8.5,0.209,0.278,0.307,4.15
Tommy Nance,TOR,4.5,1.33,26.7,10.1,0.254,0.335,0.387,4.15
Trey Yesavage,TOR,3.78,1.26,23.7,8.9,0.217,0.325,0.363,4.15
